City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Kalianget,ID,2022-05-05 21:06:56,-7.05,113.9333,80.22,83,38,5.73
137,Sakiai,LT,2022-05-05 21:06:57,54.9547,23.0358,50.7,89,100,3.58
138,Boa Vista,BR,2022-05-05 21:04:37,2.8197,-60.6733,78.78,83,40,4.61
139,Pavlogradka,RU,2022-05-05 21:06:57,54.2024,73.5592,51.53,74,45,7.02
140,Charters Towers,AU,2022-05-05 21:06:58,-20.1,146.2667,69.22,72,0,6.24
141,Libertyville,US,2022-05-05 21:05:55,42.2831,-87.9531,58.44,82,100,10.36
142,Parrita,CR,2022-05-05 21:06:59,9.5201,-84.3225,81.39,80,93,7.14
143,Norman Wells,CA,2022-05-05 21:06:59,65.282,-126.8329,38.75,68,100,10.89
144,Padang,ID,2022-05-05 21:06:59,-0.9492,100.3543,76.69,88,100,4.41
145,Svetlyy,RU,2022-05-05 21:07:00,54.675,20.1347,48.25,97,100,0.81
146,Kaitong,CN,2022-05-05 21:07:01,44.8135,123.15,46.27,68,88,9.46
147,Kavaratti,IN,2022-05-05 21:07:01,10.5669,72.642,84.7,72,100,11.05
148,Lorengau,PG,2022-05-05 21:07:01,-2.0226,147.2712,81.7,81,61,4.99
149,Lamar,US,2022-05-05 21:07:02,33.6668,-95.5836,69.98,88,100,13.8
150,Puerto Ayora,EC,2022-05-05 21:07:02,-0.7393,-90.3518,76.96,85,100,8.95
151,Cabo San Lucas,MX,2022-05-05 21:07:03,22.8909,-109.9124,83.61,65,0,7.96
152,Broome,US,2022-05-05 21:07:03,42.2506,-75.833,66.45,34,0,8.05
153,Coihaique,CL,2022-05-05 21:07:04,-45.5752,-72.0662,48.15,57,40,3.44
154,Tasiilaq,GL,2022-05-05 21:07:04,65.6145,-37.6368,28.56,73,51,2.91
155,Kaitangata,NZ,2022-05-05 21:07:05,-46.2817,169.8464,53.83,80,100,3.78
156,Kamenka,RU,2022-05-05 21:07:05,51.3223,42.7678,39.09,61,88,8.34
157,Aguimes,ES,2022-05-05 21:07:06,27.9054,-15.4461,63.66,72,40,19.57
158,Grindavik,IS,2022-05-05 21:07:06,63.8424,-22.4338,39.67,75,40,18.41
159,Yuci,CN,2022-05-05 21:07:07,37.6803,112.7319,65.95,59,0,8.95
160,Severo-Kurilsk,RU,2022-05-05 21:07:07,50.6789,156.125,34.99,84,29,7.29
161,Sayyan,YE,2022-05-05 21:07:08,15.1718,44.3244,64.22,35,4,0.81
162,Gushikawa,JP,2022-05-05 21:07:08,26.3544,127.8686,71.6,100,100,6.91
163,Craig,US,2022-05-05 21:06:12,40.5153,-107.5464,62.55,34,20,9.22
164,Lengshuitan,CN,2022-05-05 21:07:09,26.4111,111.5956,68.99,75,100,3.24
165,Lasa,IT,2022-05-05 21:07:10,46.6166,10.7002,50.36,96,100,1.99
166,Elko,US,2022-05-05 21:07:10,41.0002,-115.5012,71.64,14,100,17.0
167,Berlevag,NO,2022-05-05 21:07:11,70.8578,29.0864,35.6,75,0,28.77
168,Nanortalik,GL,2022-05-05 21:07:11,60.1432,-45.2371,33.82,86,100,12.53
169,San Andres,CO,2022-05-05 21:07:12,12.5847,-81.7006,84.22,79,100,9.22
170,Iralaya,HN,2022-05-05 21:07:12,15.0,-83.2333,81.64,82,94,13.09
171,Arraial Do Cabo,BR,2022-05-05 21:07:13,-22.9661,-42.0278,76.86,73,20,14.97
172,Laguna,US,2022-05-05 21:07:13,38.421,-121.4238,78.96,42,0,13.8
173,Ilulissat,GL,2022-05-05 21:07:14,69.2167,-51.1,26.62,50,0,11.5
174,Petatlan,MX,2022-05-05 21:07:14,17.5167,-101.2667,85.8,40,12,7.47
175,Siero,ES,2022-05-05 21:07:15,43.3833,-5.6667,54.37,89,5,2.3
176,Campos Belos,BR,2022-05-05 21:07:15,-13.0367,-46.7717,78.51,54,61,1.43
177,Pevek,RU,2022-05-05 21:07:16,69.7008,170.3133,26.65,93,98,7.38
178,Churapcha,RU,2022-05-05 21:07:16,62.0025,132.4325,27.77,87,100,11.68
179,Bemidji,US,2022-05-05 21:07:17,47.4736,-94.8803,72.05,32,0,11.5
180,Husavik,IS,2022-05-05 21:07:17,66.0449,-17.3389,36.36,94,94,5.5
