,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Albany,US,42.6001,-73.9662,84.92,53,100,1.99,overcast clouds
118,Macaubas,BR,-13.0194,-42.6986,86.0,34,92,9.93,overcast clouds
119,Yenagoa,NG,4.9247,6.2642,76.87,88,100,3.04,overcast clouds
120,Csanadpalota,HU,46.25,20.7333,64.58,71,100,7.99,overcast clouds
121,Champerico,GT,14.3,-91.9167,93.74,64,35,9.01,scattered clouds
122,Pedernales,DO,18.0384,-71.744,86.11,58,100,20.09,overcast clouds
123,Dingle,PH,10.9995,122.6711,77.54,89,100,3.33,overcast clouds
124,Dunedin,NZ,-45.8742,170.5036,46.8,86,100,1.7,overcast clouds
125,Fort Nelson,CA,58.8053,-122.7002,45.99,87,100,2.3,mist
126,Yagodnoye,RU,62.55,149.6667,21.83,91,100,2.77,overcast clouds
127,Uglovskoye,RU,51.3557,80.1942,62.51,70,100,3.56,overcast clouds
128,Tuatapere,NZ,-46.1333,167.6833,44.85,93,100,3.94,overcast clouds
129,Copiapo,CL,-27.3667,-70.3333,60.49,28,0,5.84,clear sky
130,Upernavik,GL,72.7868,-56.1549,20.1,74,14,5.14,few clouds
131,Waingapu,ID,-9.6567,120.2641,77.41,84,4,3.36,clear sky
132,Sandwick,GB,60.0,-1.25,49.82,87,75,8.05,broken clouds
133,Ixtapa,MX,20.7,-105.2,92.35,40,100,9.33,overcast clouds
134,Smithers,CA,54.7804,-127.1743,48.52,49,40,5.75,scattered clouds
135,Bijie,CN,27.3125,105.2942,48.85,93,100,3.69,moderate rain
136,Matara,LK,5.9485,80.5353,77.72,90,100,16.06,moderate rain
137,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,74,75,4.61,broken clouds
138,Kenai,US,60.5544,-151.2583,50.02,58,60,8.68,broken clouds
139,Ampanihy,MG,-24.7,44.75,68.76,65,0,6.62,clear sky
140,Tura,IN,25.5198,90.2201,70.25,96,97,6.73,overcast clouds
141,Mehamn,NO,71.0357,27.8492,40.91,82,48,7.27,scattered clouds
142,Cidreira,BR,-30.1811,-50.2056,65.98,85,100,11.32,moderate rain
143,Torbay,CA,47.6666,-52.7314,40.28,84,75,13.8,broken clouds
144,Madang,PG,-5.2246,145.7966,74.8,92,52,4.74,broken clouds
145,Tripoli,LY,32.8752,13.1875,70.0,50,0,10.02,clear sky
146,Sirohi,IN,24.8833,72.8667,89.29,28,0,11.27,clear sky
147,Kahului,US,20.8947,-156.47,78.96,67,20,14.0,few clouds
148,Saint George,US,37.1041,-113.5841,89.64,8,0,3.0,clear sky
149,Illela,NG,13.7292,5.2975,94.98,12,63,5.39,broken clouds
150,Adwa,ET,14.1646,38.8955,71.8,22,0,7.7,clear sky
151,Ilulissat,GL,69.2167,-51.1,25.57,60,46,4.25,scattered clouds
152,Stykkisholmur,IS,65.0757,-22.7297,43.0,67,100,11.65,overcast clouds
153,Kamenka,RU,51.3223,42.7678,50.07,86,70,7.11,broken clouds
154,Russell,US,32.3502,-85.1999,83.97,61,75,0.0,broken clouds
155,Poronaysk,RU,49.2167,143.1167,34.41,90,100,11.52,light snow
156,Severo-Kurilsk,RU,50.6789,156.125,38.12,94,100,29.01,overcast clouds
157,Kontagora,NG,10.3999,5.4695,88.5,43,40,6.44,scattered clouds
158,Saldanha,ZA,-33.0117,17.9442,55.45,80,0,16.93,clear sky
159,Honningsvag,NO,70.9821,25.9704,38.95,81,96,9.22,overcast clouds
160,Abu Dhabi,AE,24.4667,54.3667,80.96,55,0,8.05,clear sky
161,Bac Lieu,VN,9.285,105.7244,83.05,81,100,4.16,light rain
162,Makakilo City,US,21.3469,-158.0858,78.19,70,24,15.68,few clouds
163,Lompoc,US,34.6391,-120.4579,93.69,56,0,14.97,clear sky
164,Salumbar,IN,24.1333,74.05,91.63,32,1,13.49,clear sky
165,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,mist
166,Namatanai,PG,-3.6667,152.4333,77.85,80,15,3.83,few clouds
167,Hasaki,JP,35.7333,140.8333,61.2,77,100,25.84,overcast clouds
168,Waipawa,NZ,-41.4122,175.5153,54.05,94,100,4.92,overcast clouds
169,Brae,GB,60.3964,-1.353,49.86,86,70,9.26,broken clouds
170,Narsaq,GL,60.9167,-46.05,34.54,68,84,4.99,broken clouds
171,Chuy,UY,-33.6971,-53.4616,63.72,70,88,7.58,overcast clouds
172,Dwarka,IN,22.2394,68.9678,83.17,83,0,17.54,clear sky
173,Kikwit,CD,-5.041,18.8162,73.36,87,89,1.36,overcast clouds
174,North Platte,US,41.1239,-100.7654,73.11,33,0,13.8,clear sky
175,Constitucion,CL,-35.3333,-72.4167,60.96,47,95,8.46,overcast clouds
176,Yuksekova,TR,37.5736,44.2872,50.29,61,100,2.95,overcast clouds
177,Aktau,KZ,43.65,51.2,59.58,70,1,18.01,clear sky
178,San Quintin,MX,30.4833,-115.95,72.77,51,25,11.01,scattered clouds
179,Sur,OM,22.5667,59.5289,83.95,70,0,1.57,clear sky
180,Santa Maria,BR,-29.6842,-53.8069,63.7,77,75,2.3,moderate rain
181,Maun,BW,-19.9833,23.4167,64.36,52,0,3.44,clear sky
182,Te Anau,NZ,-45.4167,167.7167,46.9,94,100,2.48,overcast clouds
183,Canoinhas,BR,-26.1772,-50.39,69.13,63,100,1.63,overcast clouds
184,Kalmunai,LK,7.4167,81.8167,79.61,83,100,9.93,overcast clouds
185,Betare Oya,CM,5.6,14.0833,73.11,78,56,2.39,broken clouds
186,Flin Flon,CA,54.7682,-101.865,37.24,87,100,12.66,light intensity drizzle
187,Shagonar,RU,51.5333,92.8,53.89,34,0,0.85,clear sky
188,Hirara,JP,24.8,125.2833,78.58,85,100,16.84,light rain
189,Palmas,BR,-10.2128,-48.3603,87.67,62,20,3.44,few clouds
190,Veinticinco De Mayo,AR,-35.4323,-60.1727,62.98,34,100,4.0,overcast clouds
191,Hofn,IS,64.2539,-15.2082,38.5,96,100,13.78,overcast clouds
192,Dois Corregos,BR,-22.3661,-48.3803,79.9,39,10,1.72,clear sky
193,Rudnya,RU,54.947,31.0934,46.49,94,99,9.01,overcast clouds
194,Iqaluit,CA,63.7506,-68.5145,20.93,73,75,19.57,light snow
195,Piedras Negras,MX,28.7,-100.5167,92.26,48,0,8.23,clear sky
196,Bentiu,SS,9.2333,29.8333,88.75,38,66,6.2,broken clouds
197,Evensk,RU,61.95,159.2333,33.82,98,100,0.45,overcast clouds
198,Sistranda,NO,63.7256,8.834,44.56,80,100,24.65,overcast clouds
199,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,43,0,0.0,clear sky
200,El Alto,PE,-4.2714,-81.2147,78.46,71,39,9.69,scattered clouds
201,Vanimo,PG,-2.6741,141.3028,77.13,86,88,3.83,overcast clouds
202,Guarapari,BR,-20.6667,-40.4975,74.8,73,49,6.87,scattered clouds
203,Napier,NZ,-39.4833,176.9167,55.27,94,100,4.23,light rain
204,Lazarev,RU,52.225,141.5131,31.75,98,100,32.93,snow
205,Pangody,RU,65.85,74.4859,42.19,78,64,9.95,broken clouds
206,Coahuayana,MX,18.7333,-103.6833,92.44,40,100,8.16,overcast clouds
207,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,75.27,46,57,10.36,broken clouds
208,Mount Gambier,AU,-37.8333,140.7667,55.42,91,54,8.84,broken clouds
209,Akyab,MM,20.15,92.9,83.21,80,29,6.78,scattered clouds
210,Lugovoy,KZ,42.9472,72.7644,55.53,87,100,8.5,overcast clouds
211,Yulara,AU,-25.2406,130.9889,63.93,63,98,6.76,overcast clouds
212,Antalaha,MG,-14.9003,50.2788,73.35,74,0,10.02,clear sky
213,Nyurba,RU,63.2842,118.3319,29.34,85,77,1.25,broken clouds
214,Carutapera,BR,-1.195,-46.02,81.9,83,100,7.92,heavy intensity rain
215,Alofi,NU,-19.0595,-169.9187,73.29,73,71,8.05,broken clouds
216,Barrow,US,71.2906,-156.7887,24.82,86,100,16.11,overcast clouds
217,Kieta,PG,-6.2167,155.6333,77.02,79,100,2.48,overcast clouds
218,Huilong,CN,31.8111,121.655,61.93,60,100,1.74,overcast clouds
219,Gobabis,NA,-22.45,18.9667,62.78,21,0,7.63,clear sky
220,Astoria,US,46.1879,-123.8313,56.59,93,100,11.5,mist
221,Port Elizabeth,ZA,-33.918,25.5701,59.29,91,0,4.61,clear sky
222,Kaz,RU,52.9113,87.3105,58.06,49,98,3.47,overcast clouds
223,Khanpur,PK,28.6453,70.6567,99.63,9,0,15.32,clear sky
224,Boende,CD,-0.2167,20.8667,72.54,96,81,4.83,light rain
225,Ayan,RU,56.45,138.1667,32.58,98,100,14.25,snow
226,Port Lincoln,AU,-34.7333,135.8667,61.52,70,24,15.95,few clouds
227,Le Pradet,FR,43.1066,6.0172,68.59,81,0,3.44,clear sky
228,Adre,TD,13.4667,22.2,85.03,37,100,12.77,overcast clouds
229,La Rioja,ES,42.25,-2.5,60.58,88,97,3.98,overcast clouds
230,Mabaruma,GY,8.2,-59.7833,84.67,61,83,7.99,broken clouds
231,Vilyuysk,RU,63.7553,121.6247,22.17,93,21,2.26,few clouds
232,Berlevag,NO,70.8578,29.0864,42.6,81,24,4.61,few clouds
233,Punta Umbria,ES,37.1821,-6.9661,67.23,62,10,10.36,clear sky
234,Chernyshevskiy,RU,63.0128,112.4714,30.99,97,99,2.39,overcast clouds
235,Nikolskoye,RU,59.7035,30.7861,49.89,80,27,6.96,scattered clouds
236,Faanui,PF,-16.4833,-151.75,81.23,64,0,15.7,clear sky
237,Songjianghe,CN,42.1859,127.479,30.42,97,16,6.11,few clouds
238,Cungrea,RO,44.6667,24.3833,62.15,82,62,7.31,broken clouds
239,Businga,CD,3.3333,20.8833,70.68,98,100,2.59,overcast clouds
240,Richards Bay,ZA,-28.783,32.0377,67.75,91,94,5.91,moderate rain
241,Kaseda,JP,31.4167,130.3167,63.0,64,100,12.77,overcast clouds
242,Murmino,RU,54.6036,40.0544,45.77,91,92,6.67,overcast clouds
243,Vao,NC,-22.6667,167.4833,73.44,73,64,18.77,broken clouds
244,Alekseyevsk,RU,57.8406,108.3492,46.89,70,14,1.83,few clouds
245,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,8.05,scattered clouds
246,Muli,MV,2.9167,73.5667,82.29,79,100,17.94,overcast clouds
247,Petropavl,KZ,54.8753,69.1628,53.37,91,91,5.44,overcast clouds
248,Iskitim,RU,54.6366,83.3045,62.74,72,100,6.13,light rain
249,Vila Velha,BR,-20.3297,-40.2925,80.55,61,20,11.5,few clouds
250,Kolondieba,ML,11.0882,-6.8926,95.34,23,42,4.05,scattered clouds
251,Unity,CA,52.4501,-109.1682,57.25,32,100,16.93,overcast clouds
252,Hami,CN,42.8,93.45,65.68,8,3,10.67,clear sky
253,Sept-Iles,CA,50.2001,-66.3821,64.92,24,20,6.91,few clouds
254,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.6,66,100,2.26,light rain
255,La Palma,US,33.8464,-118.0467,98.49,29,37,5.99,scattered clouds
256,Clyde River,CA,70.4692,-68.5914,26.83,74,20,8.05,few clouds
257,Lasa,IT,46.6166,10.7002,60.69,89,8,3.18,clear sky
258,Alice Springs,AU,-23.7,133.8833,56.75,67,48,5.75,scattered clouds
259,Manicore,BR,-5.8092,-61.3003,85.95,79,100,5.75,overcast clouds
260,Cabedelo,BR,-6.9811,-34.8339,84.87,79,31,13.31,light rain
261,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,33,0,13.8,clear sky
262,East London,ZA,-33.0153,27.9116,61.74,88,20,6.91,few clouds
263,Belinskiy,RU,52.9647,43.4165,47.93,89,23,7.56,few clouds
264,Luan,CH,46.3592,6.9759,66.83,64,100,1.01,overcast clouds
265,San Policarpo,PH,12.1791,125.5072,79.52,87,100,11.86,overcast clouds
266,Katsuura,JP,35.1333,140.3,64.42,88,100,19.91,overcast clouds
267,Bayji,IQ,34.9311,43.487,81.88,14,20,10.33,few clouds
268,Kruglolesskoye,RU,44.6589,42.8142,57.16,86,100,3.58,light rain
269,Taltal,CL,-25.4,-70.4833,65.79,66,24,7.14,few clouds
270,Kathu,TH,7.9178,98.3332,87.69,99,98,5.21,moderate rain
271,Mitu,CO,1.1983,-70.1733,79.99,89,98,0.56,overcast clouds
272,Hit,IQ,33.6416,42.8251,83.14,13,57,11.32,broken clouds
273,Sekoma,BW,-24.4,23.8833,69.35,29,40,3.56,scattered clouds
274,Salalah,OM,17.0151,54.0924,85.55,30,0,4.09,clear sky
275,Arman,RU,59.7,150.1667,37.02,98,100,8.86,light rain
276,Huarmey,PE,-10.0681,-78.1522,70.95,71,11,11.01,few clouds
277,Vardo,NO,70.3705,31.1107,39.18,87,13,4.61,few clouds
278,High Level,CA,58.5169,-117.136,50.11,81,100,5.75,light rain
279,Meulaboh,ID,4.1363,96.1285,79.77,87,87,2.04,overcast clouds
280,Ewa Beach,US,21.3156,-158.0072,79.59,70,19,18.01,few clouds
281,Teguise,ES,29.0605,-13.564,70.02,73,20,9.22,few clouds
282,Rivers,CA,50.0308,-100.2403,43.75,78,100,18.72,overcast clouds
283,Sunland Park,US,31.7965,-106.58,91.49,13,0,1.99,clear sky
284,Pattukkottai,IN,10.4333,79.3167,84.34,68,100,15.64,overcast clouds
285,Kirovskiy,RU,45.0917,133.5136,40.41,92,37,6.49,scattered clouds
286,Whyalla,AU,-33.0333,137.5833,59.34,81,0,9.08,clear sky
287,Pisco,PE,-13.7,-76.2167,66.25,82,20,11.5,haze
288,Brownwood,US,31.7093,-98.9912,96.8,37,0,3.44,clear sky
289,Gogrial,SS,8.5332,28.1004,93.54,33,95,5.5,overcast clouds
290,Sao Filipe,CV,14.8961,-24.4956,78.67,61,100,7.72,overcast clouds
291,Baiyin,CN,36.5583,104.2081,49.84,43,100,5.64,overcast clouds
292,Mecca,SA,21.4267,39.8261,90.84,28,0,2.59,clear sky
293,Chakia,IN,26.4167,85.05,87.53,59,0,11.32,clear sky
294,Kifri,IQ,34.6959,44.9661,80.67,17,22,13.78,few clouds
295,Ambon,ID,-3.6954,128.1814,77.14,94,20,3.44,few clouds
296,Asekeyevo,RU,53.5742,52.7972,49.8,85,88,7.23,overcast clouds
297,Caceres,ES,39.522,-6.3748,77.76,29,7,14.43,clear sky
298,Vestmannaeyjar,IS,63.4427,-20.2734,43.72,86,100,26.28,overcast clouds
299,Vodnyy,RU,63.5046,53.4095,50.0,73,100,3.62,overcast clouds
300,Ostersund,SE,63.1792,14.6357,39.65,87,100,18.41,overcast clouds
301,Bonthe,SL,7.5264,-12.505,78.73,86,27,8.81,light rain
302,Ulladulla,AU,-35.35,150.4667,62.76,83,96,4.05,light rain
303,Tual,ID,-5.6667,132.75,83.28,73,99,4.18,overcast clouds
304,Qasigiannguit,GL,68.8193,-51.1922,25.77,69,66,4.81,broken clouds
305,Ust-Kut,RU,56.7938,105.7672,47.28,53,95,1.59,overcast clouds
306,San Ignacio,BZ,17.1561,-89.0714,95.14,36,20,6.91,few clouds
307,Lagoa,PT,39.05,-27.9833,59.94,79,0,31.43,clear sky
308,Mandalgovi,MN,45.7625,106.2708,44.71,28,14,4.85,few clouds
309,Kavaratti,IN,10.5669,72.642,81.81,77,100,20.31,light rain
310,Rio Grande,BR,-32.035,-52.0986,69.91,81,100,14.16,overcast clouds
311,Thompson,CA,55.7435,-97.8558,41.16,100,100,12.66,mist
312,Taoudenni,ML,22.6783,-3.9836,93.22,8,25,11.5,scattered clouds
313,Najran,SA,17.4924,44.1277,84.85,16,58,2.75,broken clouds
314,Parana,AR,-31.732,-60.5238,69.57,65,46,10.67,scattered clouds
315,Lorengau,PG,-2.0226,147.2712,80.47,74,65,2.82,broken clouds
316,Lebu,CL,-37.6167,-73.65,54.59,73,38,18.92,scattered clouds
317,Rocha,UY,-34.4833,-54.3333,66.29,59,33,2.71,scattered clouds
318,Ketchikan,US,55.3422,-131.6461,45.07,87,100,8.05,light rain
319,At-Bashi,KG,41.1702,75.8106,51.57,80,100,2.57,light rain
320,Road Town,VG,18.4167,-64.6167,84.29,65,40,11.5,scattered clouds
321,Dikson,RU,73.5069,80.5464,30.16,91,100,10.94,overcast clouds
322,Dustlik,UZ,40.5247,68.0358,62.13,73,98,2.89,overcast clouds
323,Turukhansk,RU,65.8167,87.9833,47.52,72,84,6.2,broken clouds
324,Yamasaki,JP,35.0,134.55,55.35,53,100,4.54,overcast clouds
325,La Reforma,MX,25.0833,-108.05,86.25,32,100,10.69,overcast clouds
326,Klaksvik,FO,62.2266,-6.589,47.32,87,79,1.68,broken clouds
327,Astana,KZ,51.1801,71.446,57.15,58,20,11.18,few clouds
328,Kirakira,SB,-10.4544,161.9205,78.17,83,12,2.33,few clouds
329,Ciudad Bolivar,VE,8.1222,-63.5497,96.44,33,86,11.23,overcast clouds
330,Laguna,US,38.421,-121.4238,83.28,37,0,12.66,clear sky
331,Abapo,BO,-18.8333,-63.4667,69.66,64,100,3.44,overcast clouds
332,Coquimbo,CL,-29.9533,-71.3436,60.53,77,20,11.5,few clouds
333,Agirish,RU,61.9247,63.0231,44.15,91,93,9.78,overcast clouds
334,Cap Malheureux,MU,-19.9842,57.6142,72.46,74,3,4.0,clear sky
335,Codrington,AU,-38.2667,141.9667,55.94,86,81,12.3,broken clouds
336,Lazaro Cardenas,MX,17.9583,-102.2,87.57,56,46,11.01,scattered clouds
337,Djambala,CG,-2.5447,14.7533,71.37,86,9,4.29,moderate rain
338,Bantry,IE,51.6833,-9.45,55.78,74,100,4.56,overcast clouds
339,Tacuarembo,UY,-31.7333,-55.9833,65.55,69,20,8.3,few clouds
340,Camabatela,AO,-8.1881,15.375,68.7,75,91,1.77,overcast clouds
341,Villa Rica,US,33.7321,-84.9191,84.81,65,70,3.42,broken clouds
342,Aden,YE,12.7794,45.0367,89.02,52,5,6.53,clear sky
343,Galan,CO,6.6378,-73.2888,81.55,73,100,5.46,overcast clouds
344,Mareeba,AU,-17.0,145.4333,68.43,96,100,1.57,overcast clouds
345,Cabra,ES,37.4725,-4.4421,71.55,45,51,8.5,broken clouds
346,Adrar,MR,20.5022,-10.0711,95.65,9,97,11.43,overcast clouds
347,Nerchinskiy Zavod,RU,51.3088,119.61,39.13,87,100,5.84,overcast clouds
348,Muisne,EC,0.6,-80.0333,79.43,81,92,11.61,overcast clouds
